Name,Sample_name,Genotype,Mouse_ID,Group
260_Cort_22YMFCLT3_L001,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L002,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L003,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L004,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L005,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L006,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L007,260_Cort,Socs3 w/w,260(F),WT_1_B2
260_Cort_22YMFCLT3_L008,260_Cort,Socs3 w/w,260(F),WT_1_B2
985_Cort_22YMFCLT3_L001,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L002,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L003,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L004,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L005,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L006,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L007,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
985_Cort_22YMFCLT3_L008,985_Cort,Socs3 f/f,985(F),SOCS3_1_B2
Tube1_Cort_22YMFCLT3_L001,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L002,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L003,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L004,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L005,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L006,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L007,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube1_Cort_22YMFCLT3_L008,Tube1_Cort,Socs3 f/f,"1190(F), 1185(F), 1186(F)",SOCS3_2_B1
Tube2_Cort_22YMFCLT3_L001,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L002,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L003,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L004,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L005,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L006,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L007,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube2_Cort_22YMFCLT3_L008,Tube2_Cort,Socs3 f/f,"1187(F), 1195(F)",SOCS3_3_B1
Tube3_Cort_22YMFCLT3_L001,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L002,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L003,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L004,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L005,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L006,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L007,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube3_Cort_22YMFCLT3_L008,Tube3_Cort,Socs3 w/w,"1200(F), 1204(F), 309(F)",WT_2_B1
Tube4_Cort_22YMFCLT3_L001,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L002,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L003,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L004,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L005,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L006,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L007,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1
Tube4_Cort_22YMFCLT3_L008,Tube4_Cort,Socs3 w/w,"311(F), 316(F)",WT_3_B1